raw_id,title_raw,title_norm,words_raw,decisions_raw,decisions_norm_json,num_aspects,label_signature,parse_issue,num_invalid_labels
21,Makemytrip expands share sale plan,Makemytrip expands share sale plan,5,"{""Makemytrip"": ""neutral""}","{""Makemytrip"": ""neutral""}",1,neutral,ok,0
22,Gur closes quiet on some support,Gur closes quiet on some support,6,"{""Gur"": ""neutral""}","{""Gur"": ""neutral""}",1,neutral,ok,0
23,Gur closes steady on low demand,Gur closes steady on low demand,6,"{""Gur"": ""neutral""}","{""Gur"": ""neutral""}",1,neutral,ok,0
24,Gur closes steady on thin trade,Gur closes steady on thin trade,6,"{""Gur"": ""neutral""}","{""Gur"": ""neutral""}",1,neutral,ok,0
25,Gur remains flat in tight movements,Gur remains flat in tight movements,6,"{""Gur"": ""neutral""}","{""Gur"": ""neutral""}",1,neutral,ok,0
26,Popularising G-Secs among retail investors,Popularising G-Secs among retail investors,5,"{""G-Secs"": ""neutral""}","{""G-Secs"": ""neutral""}",1,neutral,ok,0
27,Gold trades nearly flat on dull demand,Gold trades nearly flat on dull demand,7,"{""Gold"": ""neutral""}","{""Gold"": ""neutral""}",1,neutral,ok,0
28,ZEE announces closure of share buyback programme,ZEE announces closure of share buyback programme,7,"{""ZEE"": ""neutral""}","{""ZEE"": ""neutral""}",1,neutral,ok,0
29,ZEE Q2 net at Rs 216.3 cr,ZEE Q2 net at Rs 216.3 cr,7,"{""ZEE"": ""neutral""}","{""ZEE"": ""neutral""}",1,neutral,ok,0
30,China to start yuan trading on Tuesday,China to start yuan trading on Tuesday,7,"{""yuan"": ""neutral""}","{""yuan"": ""neutral""}",1,neutral,ok,0
31,BSE inks strategic partnership with YES Bank,BSE inks strategic partnership with YES Bank,7,"{""YES Bank"": ""neutral"", ""BSE"": ""neutral""}","{""BSE"": ""neutral"", ""YES Bank"": ""neutral""}",2,neutral,ok,0
32,Yes Bank launches Sovereign Gold Bond,Yes Bank launches Sovereign Gold Bond,6,"{""Yes Bank"": ""neutral"", ""Gold Bond"": ""neutral""}","{""Gold Bond"": ""neutral"", ""Yes Bank"": ""neutral""}",2,neutral,ok,0
33,"Yen firms in Asia on Iraq, Ukraine jitters","Yen firms in Asia on Iraq, Ukraine jitters",8,"{""Yen"": ""positive""}","{""Yen"": ""positive""}",1,positive,ok,0
34,Billionaire's stake shakes Woolworth's buyout of David Jones,Billionaire's stake shakes Woolworth's buyout of David Jones,7,"{""Woolworth"": ""neutral"", ""David Jones"": ""neutral""}","{""David Jones"": ""neutral"", ""Woolworth"": ""neutral""}",2,neutral,ok,0
35,Wonderla Holidays IPO subscribed 42% on Day 1,Wonderla Holidays IPO subscribed 42% on Day 1,8,"{""Wonderla Holidays"": ""neutral""}","{""Wonderla Holidays"": ""neutral""}",1,neutral,ok,0
36,Wonderla Holidays IPO subscribed 98% on second day,Wonderla Holidays IPO subscribed 98% on second day,8,"{""Wonderla Holidays"": ""neutral""}","{""Wonderla Holidays"": ""neutral""}",1,neutral,ok,0
37,WNS appoints Ronald Gillette as Chief Operating Officer,WNS appoints Ronald Gillette as Chief Operating Officer,8,"{""WNS"": ""neutral""}","{""WNS"": ""neutral""}",1,neutral,ok,0
38,Strong deals crucial for Wipro's growth push,Strong deals crucial for Wipro's growth push,7,"{""Wipro"": ""neutral""}","{""Wipro"": ""neutral""}",1,neutral,ok,0
39,Ten key takeaways from Wipro Q1 results,Ten key takeaways from Wipro Q1 results,7,"{""Wipro"": ""neutral""}","{""Wipro"": ""neutral""}",1,neutral,ok,0
40,Whirlpool may head to around 450-475: Devang Visaria,Whirlpool may head to around 450-475: Devang Visaria,8,"{""Whirlpool"": ""neutral""}","{""Whirlpool"": ""neutral""}",1,neutral,ok,0
41,Western Coalfields CMD D C Garg passes away,Western Coalfields CMD D C Garg passes away,8,"{""Western Coalfields"": ""neutral""}","{""Western Coalfields"": ""neutral""}",1,neutral,ok,0
42,VRL Logistics IPO grey market premium at 38%,VRL Logistics IPO grey market premium at 38%,8,"{""VRL Logistics"": ""neutral""}","{""VRL Logistics"": ""neutral""}",1,neutral,ok,0
43,"IPO after tax row is settled, says Vodafone","IPO after tax row is settled, says Vodafone",8,"{""Vodafone"": ""neutral""}","{""Vodafone"": ""neutral""}",1,neutral,ok,0
44,Vodafone gets ready for IPO of Indian arm,Vodafone gets ready for IPO of Indian arm,8,"{""Vodafone"": ""neutral""}","{""Vodafone"": ""neutral""}",1,neutral,ok,0
45,VMware appoints Arun Parameswaran as India MD,VMware appoints Arun Parameswaran as India MD,7,"{""VMware"": ""neutral""}","{""VMware"": ""neutral""}",1,neutral,ok,0
46,Videocon D2H likely to bring IPO this fiscal,Videocon D2H likely to bring IPO this fiscal,8,"{""Videocon D2H"": ""neutral""}","{""Videocon D2H"": ""neutral""}",1,neutral,ok,0
47,Videocon appoints Sanjeev Bakshi as COO,Videocon appoints Sanjeev Bakshi as COO,6,"{""Videocon"": ""neutral""}","{""Videocon"": ""neutral""}",1,neutral,ok,0
48,Viber ups marketing efforts with CMO appointment,Viber ups marketing efforts with CMO appointment,7,"{""Viber"": ""neutral""}","{""Viber"": ""neutral""}",1,neutral,ok,0
49,Verizon appoints Christopher Formant to head enterprise business,Verizon appoints Christopher Formant to head enterprise business,8,"{""Verizon"": ""neutral""}","{""Verizon"": ""neutral""}",1,neutral,ok,0
50,"Amidst commodity boom, vanilla remains plain vanilla","Amidst commodity boom, vanilla remains plain vanilla",7,"{""vanilla"": ""neutral""}","{""vanilla"": ""neutral""}",1,neutral,ok,0
51,Universal Commodity Exchange goes live,Universal Commodity Exchange goes live,5,"{""Universal Commodity Exchange"": ""neutral""}","{""Universal Commodity Exchange"": ""neutral""}",1,neutral,ok,0
52,United Spirits appoints Anand Kripalu as CEO,United Spirits appoints Anand Kripalu as CEO,7,"{""United Spirits"": ""neutral""}","{""United Spirits"": ""neutral""}",1,neutral,ok,0
53,Promoters raise stake to 46.72 pc in Unitech,Promoters raise stake to 46.72 pc in Unitech,8,"{""Unitech"": ""neutral""}","{""Unitech"": ""neutral""}",1,neutral,ok,0
54,Uninor appoints Grameenphone CTO as new India COO,Uninor appoints Grameenphone CTO as new India COO,8,"{""Uninor"": ""neutral""}","{""Uninor"": ""neutral""}",1,neutral,ok,0
55,TV Today Q2 profit at Rs 12.83 crore,TV Today Q2 profit at Rs 12.83 crore,8,"{""TV Today"": ""neutral""}","{""TV Today"": ""neutral""}",1,neutral,ok,0
56,Tokyo stocks flat by the break,Tokyo stocks flat by the break,6,"{""Tokyo stocks"": ""neutral""}","{""Tokyo stocks"": ""neutral""}",1,neutral,ok,0
57,Adi Rajaram appointed TNIIC chairman,Adi Rajaram appointed TNIIC chairman,5,"{""TNIIC"": ""neutral""}","{""TNIIC"": ""neutral""}",1,neutral,ok,0
58,4200 is key level for Titan: Ashwani Gujral,4200 is key level for Titan: Ashwani Gujral,8,"{""Titan"": ""neutral""}","{""Titan"": ""neutral""}",1,neutral,ok,0
59,Kapil Kapoor is global COO of Timex Group,Kapil Kapoor is global COO of Timex Group,8,"{""Timex Group"": ""neutral""}","{""Timex Group"": ""neutral""}",1,neutral,ok,0
60,TIL Limited can open-up for Rs 900-1200: Ventura,TIL Limited can open-up for Rs 900-1200: Ventura,8,"{""TIL Limited"": ""neutral""}","{""TIL Limited"": ""neutral""}",1,neutral,ok,0
61,Thyrocare Technologies Limited files draft IPO papers,Thyrocare Technologies Limited files draft IPO papers,7,"{""Thyrocare Technologies Limited"": ""neutral""}","{""Thyrocare Technologies Limited"": ""neutral""}",1,neutral,ok,0
62,Thejo Engineering announces 1:1 maiden bonus,Thejo Engineering announces 1:1 maiden bonus,6,"{""Thejo Engineering"": ""neutral""}","{""Thejo Engineering"": ""neutral""}",1,neutral,ok,0
63,Neutral on telecom: Ramanathan K,Neutral on telecom: Ramanathan K,5,"{""telecom"": ""neutral""}","{""telecom"": ""neutral""}",1,neutral,ok,0
64,Technofab Engg fix IPO rate at Rs 230-240,Technofab Engg fix IPO rate at Rs 230-240,8,"{""Technofab Engg"": ""neutral""}","{""Technofab Engg"": ""neutral""}",1,neutral,ok,0
65,Tata Sons names Gopichand Katragadda chief technology officer,Tata Sons names Gopichand Katragadda chief technology officer,8,"{""Tata Sons"": ""neutral""}","{""Tata Sons"": ""neutral""}",1,neutral,ok,0
66,Tata Motors appoints Gajendra Chandel as CHRO,Tata Motors appoints Gajendra Chandel as CHRO,7,"{""Tata Motors"": ""neutral""}","{""Tata Motors"": ""neutral""}",1,neutral,ok,0
67,Kalyanasundaram resigns as Independent Director of Tata Communications,Kalyanasundaram resigns as Independent Director of Tata Communications,8,"{""Tata Communications"": ""neutral""}","{""Tata Communications"": ""neutral""}",1,neutral,ok,0
68,Talwalkars can retest 133-140 levels: Ashwani Gujral,Talwalkars can retest 133-140 levels: Ashwani Gujral,7,"{""Talwalkars"": ""neutral""}","{""Talwalkars"": ""neutral""}",1,neutral,ok,0
69,Suzlon board approves cashless restructuring of FCCBs,Suzlon board approves cashless restructuring of FCCBs,7,"{""Suzlon"": ""neutral""}","{""Suzlon"": ""neutral""}",1,neutral,ok,0
70,Sunteck Realty: Building a solid foundation,Sunteck Realty: Building a solid foundation,6,"{""Sunteck Realty"": ""neutral""}","{""Sunteck Realty"": ""neutral""}",1,neutral,ok,0
71,Harsha Viji is deputy MD of Sundaram MF,Harsha Viji is deputy MD of Sundaram MF,8,"{""Sundaram MF"": ""neutral""}","{""Sundaram MF"": ""neutral""}",1,neutral,ok,0
72,Sugar closes steady on sporadic buying,Sugar closes steady on sporadic buying,6,"{""Sugar"": ""neutral""}","{""Sugar"": ""neutral""}",1,neutral,ok,0
73,Sugar ends steady in thin trade,Sugar ends steady in thin trade,6,"{""Sugar"": ""neutral""}","{""Sugar"": ""neutral""}",1,neutral,ok,0
74,Sugar settles steady on little doing,Sugar settles steady on little doing,6,"{""Sugar"": ""neutral""}","{""Sugar"": ""neutral""}",1,neutral,ok,0
75,Sugar ends quiet amid sufficient stock positions,Sugar ends quiet amid sufficient stock positions,7,"{""Sugar"": ""neutral""}","{""Sugar"": ""neutral""}",1,neutral,ok,0
76,India produces 14.3 million tonne sugar till mid-February,India produces 14.3 million tonne sugar till mid-February,8,"{""sugar"": ""neutral""}","{""sugar"": ""neutral""}",1,neutral,ok,0
77,Sterling steadies after Scottish referendum debate wobble,Sterling steadies after Scottish referendum debate wobble,7,"{""Sterling"": ""neutral""}","{""Sterling"": ""neutral""}",1,neutral,ok,0
78,UK data gives battered sterling some respite,UK data gives battered sterling some respite,7,"{""sterling"": ""neutral""}","{""sterling"": ""neutral""}",1,neutral,ok,0
79,Red-hot sterling cools a touch after PMI numbers,Red-hot sterling cools a touch after PMI numbers,8,"{""sterling"": ""neutral""}","{""sterling"": ""neutral""}",1,neutral,ok,0
80,Steel prices end steady in thin trade,Steel prices end steady in thin trade,7,"{""Steel"": ""neutral""}","{""Steel"": ""neutral""}",1,neutral,ok,0
81,Tight movement in steel prices in thin trade,Tight movement in steel prices in thin trade,8,"{""steel"": ""neutral""}","{""steel"": ""neutral""}",1,neutral,ok,0
82,Spices hold steady in mute trade,Spices hold steady in mute trade,6,"{""Spices"": ""neutral""}","{""Spices"": ""neutral""}",1,neutral,ok,0
83,SpiceJet makes top-level changes,SpiceJet makes top-level changes,4,"{""SpiceJet"": ""neutral""}","{""SpiceJet"": ""neutral""}",1,neutral,ok,0
84,Spicejet seeks shareholders' nod to hike promoters holding,Spicejet seeks shareholders' nod to hike promoters holding,8,"{""Spicejet"": ""neutral""}","{""Spicejet"": ""neutral""}",1,neutral,ok,0
85,Several small caps trading at eye-popping valuations,Several small caps trading at eye-popping valuations,7,"{""small caps"": ""neutral""}","{""small caps"": ""neutral""}",1,neutral,ok,0
86,Sistema on way to market,Sistema on way to market,5,"{""Sistema"": ""neutral""}","{""Sistema"": ""neutral""}",1,neutral,ok,0
87,Shoppers Stop elevates Salil Nair to CEO,Shoppers Stop elevates Salil Nair to CEO,7,"{""Shoppers Stop"": ""neutral""}","{""Shoppers Stop"": ""neutral""}",1,neutral,ok,0
88,Neutral on Shiva Cement: Seshadri Bharathan,Neutral on Shiva Cement: Seshadri Bharathan,6,"{""Shiva Cement"": ""neutral""}","{""Shiva Cement"": ""neutral""}",1,neutral,ok,0
89,How will Shell-BG deal impact global energy market,How will Shell-BG deal impact global energy market,8,"{""Shell-BG"": ""neutral"", ""energy market"": ""neutral""}","{""Shell-BG"": ""neutral"", ""energy market"": ""neutral""}",2,neutral,ok,0
90,SGX's India office to woo fund raising corporations,SGX's India office to woo fund raising corporations,8,"{""SGX"": ""neutral""}","{""SGX"": ""neutral""}",1,neutral,ok,0
91,Prasun Kumar Mukherjee quits Sesa Sterlite,Prasun Kumar Mukherjee quits Sesa Sterlite,6,"{""Sesa Sterlite"": ""neutral""}","{""Sesa Sterlite"": ""neutral""}",1,neutral,ok,0
92,Which Sensex stocks should you bet on?,Which Sensex stocks should you bet on?,7,"{""Sensex stocks"": ""neutral""}","{""Sensex stocks"": ""neutral""}",1,neutral,ok,0
93,Sensex rangebound; top 20 intraday trading ideas,Sensex rangebound; top 20 intraday trading ideas,7,"{""Sensex"": ""neutral""}","{""Sensex"": ""neutral""}",1,neutral,ok,0
94,SEC director with big stock holdings stirs debate,SEC director with big stock holdings stirs debate,8,"{""SEC"": ""neutral""}","{""SEC"": ""neutral""}",1,neutral,ok,0
95,Sebi partially lifts curbs on Shantivijay Jewels,Sebi partially lifts curbs on Shantivijay Jewels,7,"{""Sebi"": ""neutral"", ""Shantivijay Jewels"": ""neutral""}","{""Sebi"": ""neutral"", ""Shantivijay Jewels"": ""neutral""}",2,neutral,ok,0
96,Sebi seeks clarification on RINL IPO,Sebi seeks clarification on RINL IPO,6,"{""Sebi"": ""neutral"", ""RINL"": ""neutral""}","{""RINL"": ""neutral"", ""Sebi"": ""neutral""}",2,neutral,ok,0
97,"Sebi attaches accounts of former Ranbaxy director, wife","Sebi attaches accounts of former Ranbaxy director, wife",8,"{""Sebi"": ""neutral"", ""Ranbaxy"": ""neutral""}","{""Ranbaxy"": ""neutral"", ""Sebi"": ""neutral""}",2,neutral,ok,0
98,Maruti-Suzuki deal: Institutional investors approach Sebi,Maruti-Suzuki deal: Institutional investors approach Sebi,6,"{""Sebi"": ""neutral"", ""Maruti-Suzuki"": ""neutral""}","{""Maruti-Suzuki"": ""neutral"", ""Sebi"": ""neutral""}",2,neutral,ok,0
99,Sebi notifies new ESOP regulations,Sebi notifies new ESOP regulations,5,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
100,Sebi revamps securitisation trustee norms,Sebi revamps securitisation trustee norms,5,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
101,Centralised online system for investor grievances:SEBI,Centralised online system for investor grievances:SEBI,6,"{""SEBI"": ""neutral""}","{""SEBI"": ""neutral""}",1,neutral,ok,0
102,Sebi cautions against illicit high-return schemes,Sebi cautions against illicit high-return schemes,6,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
103,Sebi proposes restrictions on 'wilful defaulters',Sebi proposes restrictions on 'wilful defaulters',6,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
104,"New listing, de-listing regulations next month: Sebi","New listing, de-listing regulations next month: Sebi",7,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
105,Sebi announces new set of ESOP regulations,Sebi announces new set of ESOP regulations,7,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
106,Sebi considers proposal on cross-currency futures pairs,Sebi considers proposal on cross-currency futures pairs,7,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
107,Sebi plans new norms for municipal bonds,Sebi plans new norms for municipal bonds,7,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
108,"Sebi revamps committee on disclosures, accounting standards","Sebi revamps committee on disclosures, accounting standards",7,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
109,Sebis reading of control issue confounds experts,Sebis reading of control issue confounds experts,7,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
110,20 companies approach Sebi with public offer proposals,20 companies approach Sebi with public offer proposals,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
111,Cabinet to consider proposal for Sebi ordinance tomorrow,Cabinet to consider proposal for Sebi ordinance tomorrow,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
112,"Insider trading on SEBI Chief, UK Sinha's radar","Insider trading on SEBI Chief, UK Sinha's radar",8,"{""SEBI"": ""neutral""}","{""SEBI"": ""neutral""}",1,neutral,ok,0
113,Minimum shareholding norm not for non-controlling entity: Sebi,Minimum shareholding norm not for non-controlling entity: Sebi,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
114,President Pranab Mukherjee clears re-promulgation of Sebi ordinance,President Pranab Mukherjee clears re-promulgation of Sebi ordinance,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
115,Sebi asks mutual funds to adopt high-deposit districts,Sebi asks mutual funds to adopt high-deposit districts,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
116,Sebi calls for systemic safeguards in Algo trades,Sebi calls for systemic safeguards in Algo trades,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
117,Sebi directs banks to defreeze accounts of Somanis,Sebi directs banks to defreeze accounts of Somanis,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
118,Sebi grants new status to three clearing corporations,Sebi grants new status to three clearing corporations,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
119,Sebi initiates proceeding against entities in ponzi schemes,Sebi initiates proceeding against entities in ponzi schemes,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
120,Sebi may seek relief for commodity exchange warehouses,Sebi may seek relief for commodity exchange warehouses,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
121,Sebi mulls prudential governance norms for stock brokers,Sebi mulls prudential governance norms for stock brokers,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
122,Sebi orders defreezing of accounts of five entities,Sebi orders defreezing of accounts of five entities,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
123,Sebi plans annual information memorandum for listed companies,Sebi plans annual information memorandum for listed companies,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
124,Sebi proposes stricter rules for securitisation deal trustees,Sebi proposes stricter rules for securitisation deal trustees,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
125,Sebi to conitnue with more than 300 proceedings,Sebi to conitnue with more than 300 proceedings,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
126,Sebi to study surveillance systems in overseas markets,Sebi to study surveillance systems in overseas markets,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
127,"Sebi, exchanges to tighten grip on speculative stocks","Sebi, exchanges to tighten grip on speculative stocks",8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
128,Sebi's public offer norms bat for retail investors,Sebi's public offer norms bat for retail investors,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
129,Sebi's toll-free service for investors open whole week,Sebi's toll-free service for investors open whole week,8,"{""Sebi"": ""neutral""}","{""Sebi"": ""neutral""}",1,neutral,ok,0
130,Single Demat A/c for all financial investments: SEBI,Single Demat A/c for all financial investments: SEBI,8,"{""SEBI"": ""neutral""}","{""SEBI"": ""neutral""}",1,neutral,ok,0
131,SCI ex-chairman S Hajara joins Doehle Danautic India,SCI ex-chairman S Hajara joins Doehle Danautic India,8,"{""SCI"": ""neutral"", ""Doehle Danautic India"": ""neutral""}","{""Doehle Danautic India"": ""neutral"", ""SCI"": ""neutral""}",2,neutral,ok,0
132,2270-2350 is the range for SBI: Sandeep Wagle,2270-2350 is the range for SBI: Sandeep Wagle,8,"{""SBI"": ""neutral""}","{""SBI"": ""neutral""}",1,neutral,ok,0
133,Cover up all positions for SBI: Mitesh Thacker,Cover up all positions for SBI: Mitesh Thacker,8,"{""SBI"": ""neutral""}","{""SBI"": ""neutral""}",1,neutral,ok,0
134,"Saudi market opens, may affect global fund flows","Saudi market opens, may affect global fund flows",8,"{""Saudi market"": ""neutral""}","{""Saudi market"": ""neutral""}",1,neutral,ok,0
135,Sanghvi Forging and Engineering Ltd IPO opens tomorrow,Sanghvi Forging and Engineering Ltd IPO opens tomorrow,8,"{""Sanghvi Forging and Engineering Ltd"": ""neutral""}","{""Sanghvi Forging and Engineering Ltd"": ""neutral""}",1,neutral,ok,0
136,Samsung Everland IPO seen spurring Samsung Group restructure,Samsung Everland IPO seen spurring Samsung Group restructure,8,"{""Samsung Everland"": ""neutral""}","{""Samsung Everland"": ""neutral""}",1,neutral,ok,0
137,Samsung Electronic India enterprise business head quits,Samsung Electronic India enterprise business head quits,7,"{""Samsung Electronic India"": ""neutral""}","{""Samsung Electronic India"": ""neutral""}",1,neutral,ok,0
138,Samsonite International appoints Ramesh Tainwala as global COO,Samsonite International appoints Ramesh Tainwala as global COO,8,"{""Samsonite International"": ""neutral""}","{""Samsonite International"": ""neutral""}",1,neutral,ok,0
139,Soiles Bhattacharya takes interim charge of SAIL,Soiles Bhattacharya takes interim charge of SAIL,7,"{""SAIL"": ""neutral""}","{""SAIL"": ""neutral""}",1,neutral,ok,0
140,"SAIL sets rs. 7,000-crore FPO process in motion","SAIL sets rs. 7,000-crore FPO process in motion",8,"{""SAIL"": ""neutral""}","{""SAIL"": ""neutral""}",1,neutral,ok,0
141,Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,Expert's take: Rupee-dollar pair to test 45.30-45.50 levels,8,"{""Rupee"": ""neutral"", ""dollar"": ""neutral""}","{""Rupee"": ""neutral"", ""dollar"": ""neutral""}",2,neutral,ok,0
142,Budget 2014 mustn't sell rupee short,Budget 2014 mustn't sell rupee short,6,"{""rupee"": ""neutral""}","{""rupee"": ""neutral""}",1,neutral,ok,0
143,Cabinet decides on rupee sign today,Cabinet decides on rupee sign today,6,"{""rupee"": ""neutral""}","{""rupee"": ""neutral""}",1,neutral,ok,0
144,Rupee little changed in intraday trade,Rupee little changed in intraday trade,6,"{""Rupee"": ""neutral""}","{""Rupee"": ""neutral""}",1,neutral,ok,0
145,Rupee ends little changed; fund flows in focus,Rupee ends little changed; fund flows in focus,8,"{""Rupee"": ""neutral""}","{""Rupee"": ""neutral""}",1,neutral,ok,0
146,Rupee swings hand arbitrage advantage to day traders,Rupee swings hand arbitrage advantage to day traders,8,"{""Rupee"": ""neutral""}","{""Rupee"": ""neutral""}",1,neutral,ok,0
147,"Output not stretched, says Rubber Board","Output not stretched, says Rubber Board",6,"{""Rubber Board"": ""neutral""}","{""Rubber Board"": ""neutral""}",1,neutral,ok,0
148,RP-Sanjiv Goenka Group to begin new CSR initiatives,RP-Sanjiv Goenka Group to begin new CSR initiatives,8,"{""RP-Sanjiv Goenka Group"": ""neutral""}","{""RP-Sanjiv Goenka Group"": ""neutral""}",1,neutral,ok,0
